transcriptions,label
магистрали тормозной магистрали ааа так,-1
ты вот так вагон протянуть вагон вагон,-1
э вот тормозить,-1
на на вагон двадцать хмм вот,-1
ой хмм пространства межвагонного из межвагонного,-1
отказ я хмм,-1
подтверждение я вот,-1
ты башмак башмак башмак ой,-1
впринципе блин тормозить,-1
ой так отказ,-1
я ой отпустить,-1
я начать начать короче,-1
ты так прекратить зарядку зарядку тормозной,-1
хмм вот пространства вышел пространства межвагонного,-1
ты межвагонное вот,-1
ой тише вот,-1
межвагонное в межвагонное в я вот,-1
впринципе остановка вот так,-1
э вот осаживание,-1
продолжаем освежевание я так,-1
ой прекратить вот так,-1
ой захожу захожу захожу пространство вот так,-1
назад башмак на ой вот,-1
хмм вот так осаживание осаживание,-1
ты тише э,-1
на осадить на осадить блин так,-1
ой вот протянуть вагон на на,-1
начать хмм вот так,-1
аа тормозить хмм,-1
я межвагонного из пространства вышел вот так,-1
отказ э вот так,-1
ой ой в пространство в захожу,-1
я зарядка магистрали тормозной вот,-1
блин блин на ой так,-1
отказ ты так,-1
ой вот сжать сжать,-1
отказ ой ой,-1
начать осаживание ты ой,-1
на на башмак э хмм,-1
ааа ой тормозной прекратить тормозной зарядку,-1
блин растянуть короче вот,-1
захожу захожу в захожу хмм так,-1
роспуск продолжаем хмм так,-1
ты с с с вот,-1
ты так сжать автосцепки,-1
ёмаё освежевание продолжаем вот,-1
ой отпустить э,-1
ой назад башмака с так,-1
вперед вперед вперед впринципе ты,-1
хмм вот продолжаем продолжаем,-1
хмм вот тормозной тормозной тормозной тормозной,-1
хмм вот тормозить,-1
осадить ой так,-1
на протянуть пятьдесят вагон э впринципе,-1
э на башмак на вот,-1
пространства пространства пространства межвагонного э я,-1
хмм сжать автосцепки вот,-1
хмм э башмак на башмак,-1
я из вышел пространства вышел так,-1
вагон вагон десять на ты вот так,-1
хмм так начать осаживание,-1
сжать сжать типа короче,-1
из э так,-1
ты вот так пространство пространство межвагонное пространство,-1
хмм на назад башмак вот так,-1
я я освежевание,-1
ты осаживание осаживание так,-1
ой э автосцепки,-1
ты так начать начать,-1
отказ хмм вот так,-1
